textID,preprocessed_text,Length_of_Preprocessed_Text,class
2a0463352b,enough nothing hours,3,0
f358968122,clothes shopping tomorrow hate serious clothes falling apart situation,9,1
449e7733f1,bored idea nice site,4,0
6099baf6e8,not think want come back guys read dms,8,1
f946da7a04,thomas drinking game tonight not work till tomorrow,8,0
67f4af6814,birthday days,2,0
ed50c7c8e4,wish sun would come guess not matter since work not enjoy anyways,12,1
1e8548b565,sad gone show mcfly fan,5,1
ec3209161b,one ever gave info sad,5,1
3b3b89cab2,tubes closed june idea get venue,6,0
7afe7afed0,plans canceled another friday night home,6,0
25d7592360,always write holy words capital dude allah hafiz,8,0
4c26a97c53,dang course jealous cuz not think first,7,0
4aea4096a2,yay move sorry grr,4,1
c3efe3a32f,hair cut today boyfriend not notice,6,0
6eb1feccee,wish nowww grrrrrrr,3,1
121fabafd5,freesat coverage sky dish really really bad moment blocks place really annoying,12,1
0209c8b5e1,suse,1,0
1b6620a5f6,saimee july underage festival august found others far away,9,0
c5c0a14aa6,never know,2,0
9cc5161b00,presentations available online meeting poster discussants going fast not write fast enough,12,1
3af30aa0a6,chillin havin drink,3,0
b5e14936e1,day work today bit tiring lol onto college work,9,0
ad9ed9c5e9,mmm mmm mmm tss tsss tss lol way much fun bored miss,12,0
b1f68dc810,beach nanny got back roast iater pudding,7,0
4ab017622a,jay leno last show tonight,5,0
c20d43f91c,bak mcr glad sleep bed nite yeyah fink missin popeye hopin moz,12,0
05ed6c49d8,sorry hear dog,3,1
1cb21b7fc1,stokoe bet imagine much work making movie not wait see,10,0
ec9bce02a9,unfortunately miss girl bros radio tonight midst night writing session,10,1
1c295e07a0,point bein one else,4,0
13552e6537,going jack tribute match today,5,0
b05497968c,possibly carpenters number topical,4,0
1d568e14ea,wowzer windy not good allergies,5,1
51a575d11b,mom wants lay late probably little sorry sick,8,1
bc37aeaa2f,sometimes knowledge not good thing http digg com spp,9,1
95578e1883,mom cars broken feel violated,5,1
ef55b990e7,going,1,0
1149e3a28d,sorry bad,2,1
ea91e5a7ab,computer slooowww morning think sign home play yard,8,0
be7eb6d1e6,actually meant type end september middle conversation someone cant multitask,10,0
169f6ef064,tom not hahahahahahhah bff,4,0
de40356564,got car back excited sad going away party attending tonight dani going back brazil,14,0
c5498a9126,not much well,3,1
efcca2b409,knowing microsoft could probby would want charge way much extra,10,1
be72df5546,shakas againn dollar salads,4,0
4c7e112f86,missed play,2,1
65fbf2fd60,internet weekend,2,1
900e2a6ece,woke way late intended today need start getting bed bad habit break late,13,0
80bae565bd,thing anybody covering dave haha not like people messing perfect music,11,1
eb03f33dc5,wut itell yesterday lol,4,0
e8c6f175ba,thas cool know kinda knew bouts cuz ericson haha guys together,11,0
2a5ed1c870,point men,2,0
9c2088cec2,really need update,3,0
1de9b80ecb,trying sleep not working,4,1
48ba01d8cb,still dealing quite bit pain jump soon lay frustrating thanks asking,11,1
af841b1be4,need shopping need save money,5,0
ea4c8aec93,http www mmemarko schilderweb homepage,5,0
823122597e,mean,1,0
d164728f94,lol always make happy promise not lol silly late friend,10,0
0925cf869b,not,1,0
cd3ffb6970,read perhaps background apps,4,0
