textID,text,sentiment
2a0463352b,that`s enough! I`ll do nothing for 2 hours.,neutral
f358968122,"I have to go clothes shopping tomorrow  I hate it, but I have a serious 'clothes falling apart' situation here.",negative
449e7733f1,i am bored. :| any idea`s of a nice site?,neutral
6099baf6e8,I don`t think  will want to come back  (guys read your dms),negative
f946da7a04,_thomas if only the drinking game was tonight...I don`t have to work till 5 tomorrow,neutral
67f4af6814,my birthday is in 2 days,neutral
ed50c7c8e4,I wish the sun would come out...I guess it doesn`t matter since I`m at work and can`t enjoy it anyways,negative
1e8548b565,I am very sad because I have gone on the show McFly fan I am of them!,negative
ec3209161b,no one ever gave me the info I`m sad,negative
3b3b89cab2,all tubes closed on 9th and 10th of june  any idea of how to get to the venue?,neutral
7afe7afed0,****...plans were canceled.....another friday night at home,neutral
25d7592360," always write holy words in capital dude, ALLAH HAFIZ !",neutral
4c26a97c53," Dang! Of course, I`m just jealous `cuz I didn`t think of it first",neutral
4aea4096a2,yay!! we`ll all move!! sorry dh is being Grr...  ****,negative
c3efe3a32f,I had my hair cut today and my boyfriend didn`t notice....,neutral
6eb1feccee,_ I wish you were here NOWWW!!! grrrrrrr,negative
121fabafd5,"FreeSat`s coverage (Sky dish) is really, really bad at the moment, blocks all over the place, really annoying!",negative
0209c8b5e1,How about SUSE?,neutral
efcc48d045,And you!,neutral
1b6620a5f6,"  SAimee 26 july, Underage festival 2 August, i found some others but they were too far away",neutral
c5c0a14aa6,I will - but you will never know it`s me,neutral
9cc5161b00,will the presentations be available online during the meeting?  The poster discussants are going so fast I can`t write fast enough,negative
3af30aa0a6,chillin an havin a drink,neutral
b5e14936e1,1st day of work today was a bit tiring but ok lol now onto college work,neutral
ad9ed9c5e9,"mmm mmm mmm! tss tsss tss. LOL, having way too much fun being bored.  i miss him",neutral
b1f68dc810,been To beach+ nanny`s Just got back- roast Iater and then Pudding,neutral
4ab017622a,is Jay Leno`s last show tonight,neutral
c20d43f91c,"is bak in mcr....glad i can sleep in ma own bed 2nite yeyah...but i fink i,m missin popeye  hopin 2 c him 2moz  ****",neutral
05ed6c49d8,sorry to hear about your dog,negative
1cb21b7fc1,_Stokoe I bet! I can imagine how much work it is making a movie. I can`t wait to see it,neutral
ec9bce02a9," unfortunately, I will miss Girl Bros. Radio tonight. Will be in the midst of an all night writing session",negative
1c295e07a0,there`s no point in bein on here if no one else in on,neutral
13552e6537,going to jack`s tribute match today,neutral
b05497968c,"possibly a carpenters number,topical.",neutral
1d568e14ea,Wowzer! It`s very windy. Not good for my allergies!!,negative
51a575d11b,my mom wants to lay. We`ll be there later. Probably a little after 10. And  I`m sorry you`re sick,negative
bc37aeaa2f,Sometimes knowledge is not a good thing.    http://digg.com/d1sPp7,negative
95578e1883,- me and my mom`s cars were broken into.  I feel violated.,negative
ef55b990e7,we are going all out!,neutral
03f89d7db1,_m do it up,neutral
1149e3a28d,sorry my bad.,negative
ea91e5a7ab,My computer is SO slooowww this morning.  I think it`s a sign that I should go home and play in my yard.,neutral
be7eb6d1e6,I actually meant to type 'end of September' but I was in the middle of a conversation with someone and I cant multitask,neutral
169f6ef064,tom is not with u!  hahahahahahhah he`s with my bff,neutral
de40356564,got my car back and excited/sad for the going away party I`m attending tonight. Dani is going back to Brazil...,neutral
c5498a9126,I am not doing much  all well!,negative
efcca2b409,"_M ah. knowing microsoft, they could probby do it, but would want to charge way too much extra for it",negative
be72df5546,At shakas againn. No 2 dollar salads here,neutral
4c7e112f86,Missed the play,negative
65fbf2fd60,<--has no internet for the weekend,negative
900e2a6ece,woke up way later than I intended to today  Need to start getting to bed before 5 a.m. b/c this will be a bad habit to break later,neutral
80bae565bd,I do the same thing to anybody covering dave... haha... we don`t like people messing with perfect music.,negative
eb03f33dc5,wut itell u yesterday lol,neutral
e8c6f175ba," oh thas cool  you know, I only kinda knew bouts you cuz of Ericson haha when you guys were together x)",neutral
2a5ed1c870,Ha ha 1 point for the men,neutral
